
Image Name                     PID Session Name        Session#    Mem Usage
SystemSettings.exe           10092 Console                    1      1,128 K
UserOOBEBroker.exe            9188 Console                    1      9,168 K
WhatsApp.exe                  9064 Console                    1     11,188 K
RuntimeBroker.exe             9616 Console                    1      7,620 K
CalculatorApp.exe            10124 Console                    1      1,140 K
RuntimeBroker.exe            10220 Console                    1      6,672 K
Microsoft.Media.Player.ex     7316 Console                    1      1,144 K
RuntimeBroker.exe             6084 Console                    1     17,176 K
Taskmgr.exe                   9424 Console                    1     34,332 K
Antigravity.exe              11176 Console                    1    144,916 K
Antigravity.exe              11260 Console                    1     15,188 K
Antigravity.exe              10336 Console                    1     87,652 K
Antigravity.exe              10328 Console                    1     18,908 K
Antigravity.exe              10592 Console                    1    481,848 K
Antigravity.exe              10876 Console                    1     28,704 K
Antigravity.exe              10760 Console                    1     75,052 K
svchost.exe                  11128 Services                   0     10,664 K
Antigravity.exe               9952 Console                    1     44,108 K
svchost.exe                   9308 Services                   0      5,972 K
Antigravity.exe              11000 Console                    1     25,452 K
Antigravity.exe              10776 Console                    1     20,608 K
CompPkgSrv.exe               10632 Console                    1      8,852 K
audiodg.exe                   9864 Services                   0     11,880 K
Antigravity.exe              10544 Console                    1    211,624 K
Antigravity.exe               8500 Console                    1     50,028 K
Antigravity.exe               9268 Console                    1     31,424 K
language_server_windows_x     1508 Console                    1    393,020 K
conhost.exe                   1180 Console                    1      9,588 K
cmd.exe                       7924 Console                    1      4,660 K
conhost.exe                   9088 Console                    1     10,328 K
Antigravity.exe               5752 Console                    1     37,728 K
java.exe                       320 Console                    1     87,684 K
conhost.exe                  10516 Console                    1      6,256 K
powershell.exe               11092 Console                    1     67,944 K
TextInputHost.exe            10956 Console                    1     43,920 K
python.exe                    5312 Console                    1     57,280 K
conhost.exe                  10616 Console                    1     10,432 K
WmiPrvSE.exe                 11992 Services                   0     11,380 K
igfxsrvc.exe                 12216 Console                    1      8,512 K
powershell.exe               11936 Console                    1     63,716 K
cmd.exe                       4576 Console                    1      4,404 K
tasklist.exe                  6008 Console                    1      9,528 K
igfxsrvc.exe                 10676 Console                    1      8,488 K
powershell.exe               11772 Console                    1      1,532 K
git.exe                      11020 Console                    1      1,988 K
conhost.exe                    252 Console                    1      5,168 K
